RD001,Trần Văn A,1995-05-10,Hồ Chí Minh,0901234567,a.tran@mail.com
RD002,Lê Thị B,1998-08-20,Hà Nội,0902345678,b.le@mail.com
RD003,Phạm Gia C,2000-01-15,Đà Nẵng,0903456789,c.pham@mail.com
RD004,Nguyễn Hữu D,1990-12-01,Hồ Chí Minh,0904567890,d.nguyen@mail.com
RD005,Đinh Văn E,2005-03-25,Hà Nội,0905678901,e.dinh@mail.com
RD006,Vũ Thị F,1985-06-18,Hải Phòng,0906789012,f.vu@mail.com
RD007,Hoàng Minh G,1999-11-22,Hồ Chí Minh,0907890123,g.hoang@mail.com
RD008,Bùi Văn H,2001-04-05,Nha Trang,0908901234,h.bui@mail.com
RD009,Đặng Thị I,1997-09-30,Cần Thơ,0909012345,i.dang@mail.com
RD010,Cao Văn K,1993-02-14,Hà Nội,0900123456,k.cao@mail.com
RD011,Mai Xuân L,1996-07-12,Huế,0911223344,l.mai@mail.com
RD012,Ngô Thị M,2002-03-08,Hồ Chí Minh,0912334455,m.ngo@mail.com
RD013,Phan Văn N,1994-10-25,Hà Nội,0913445566,n.phan@mail.com
RD014,Dương Thị O,1999-12-30,Đà Nẵng,0914556677,o.duong@mail.com
RD015,Lương Văn P,2001-06-18,Hải Phòng,0915667788,p.luong@mail.com
RD016,Thái Thị Q,1988-09-05,Hồ Chí Minh,0916778899,q.thai@mail.com
RD017,Hà Văn R,2003-01-20,Hà Nội,0917889900,r.ha@mail.com
RD018,Tạ Thị S,1992-11-11,Cần Thơ,0918990011,s.ta@mail.com
RD019,Lâm Văn T,1997-04-27,Đà Nẵng,0919001122,t.lam@mail.com
RD020,Trịnh Thị U,2000-08-14,Hồ Chí Minh,0920112233,u.trinh@mail.com
